name,url,gbp_query
Robinson Jary Architecture,http://www.robinsonjary.co.uk/,Robinson Jary Architecture architectural practice Exeter
LDA Design (Exeter),http://www.lda-design.co.uk/,LDA Design (Exeter) architectural practice Exeter
StudioExe Architects,http://www.studioexe.co.uk/,StudioExe Architects architectural practice Exeter
Matthew Farmer,http://mfarchitecture.co.uk/,Matthew Farmer architectural practice Exeter
Montage,http://www.montageuk.com/,Montage architectural practice Exeter
Louise Crossman Architects,http://lcarchitects.co.uk/,Louise Crossman Architects architectural practice Exeter
Clifton Emery design,http://www.cliftonemerydesign.co.uk/,Clifton Emery design architectural practice Exeter
PMR Architecture,http://www.pmr-architecture.co.uk/,PMR Architecture architectural practice Exeter
The Cave Co-operative,http://www.cave.coop/,The Cave Co-operative architectural practice Exeter
Pea Green Studio Ltd - Commercial & Residential Interiors,https://www.peagreenstudio.co.uk/,Pea Green Studio Ltd - Commercial & Residential Interiors architectural practice Exeter
Croft Surveyors,http://www.croftsurveyors.co.uk/,Croft Surveyors architectural practice Exeter
Poynton Bradbury Architects,https://poyntonbradbury.co.uk/,Poynton Bradbury Architects architectural practice Exeter
L+ Architects,http://www.lplusarchitects.com/,L+ Architects architectural practice Exeter
Citizen Architects,http://www.citizenarchitects.eu/,Citizen Architects architectural practice Exeter
Leaver Consultancy Limited,http://leaverconsultancy.co.uk/,Leaver Consultancy Limited architectural practice Exeter
Bailey Partnership (Group) Ltd,http://www.baileypartnership.co.uk/,Bailey Partnership (Group) Ltd architectural practice Exeter
Expedite Design Services Ltd,http://www.expediteps.com/,Expedite Design Services Ltd architectural practice Exeter
Avalon Planning & Heritage,http://www.avalonplanning.co.uk/,Avalon Planning & Heritage architectural practice Exeter
Smithers Purslow,http://www.smitherspurslow.com/,Smithers Purslow architectural practice Exeter
Florian Winkler,http://florianwinkler.co.uk/,Florian Winkler architectural practice Exeter
Exeter Historic Building Trust,http://ehbt.org.uk/,Exeter Historic Building Trust architectural practice Exeter
The Threshing Barn,http://thethreshingbarn.org.uk/,The Threshing Barn architectural practice Exeter
inacoustic,http://www.inacoustic.co.uk/,inacoustic architectural practice Exeter
Heighway Field Associates,http://www.heighwayfield.co.uk/,Heighway Field Associates architectural practice Exeter
Burley Partnership Ltd,http://www.burleypartnership.co.uk/,Burley Partnership Ltd architectural practice Exeter
Fieldstone Architecture,https://fieldstonearchitecture.co.uk/,Fieldstone Architecture architectural practice Exeter
